product,date,region,sales
magenta morsel,2018-02-21,west,1533
chartreuse morsel,2018-02-21,north,1599
chartreuse morsel,2018-02-21,south,1665
chartreuse morsel,2018-02-21,east,1713
chartreuse morsel,2018-02-21,west,1644
periwinkle morsel,2018-02-21,north,1776
periwinkle morsel,2018-02-21,south,1530
periwinkle morsel,2018-02-21,east,1650
periwinkle morsel,2018-02-21,west,1512
vermilion morsel,2018-02-21,north,1629
vermilion morsel,2018-02-21,south,1707
vermilion morsel,2018-02-21,east,1521
vermilion morsel,2018-02-21,west,1761
lapis morsel,2018-02-21,north,1755
lapis morsel,2018-02-21,south,1659
lapis morsel,2018-02-21,east,1800
lapis morsel,2018-02-21,west,1539
pink morsel,2018-02-22,north,1713
pink morsel,2018-02-22,south,1752
pink morsel,2018-02-22,east,1629
pink morsel,2018-02-22,west,1635
gold morsel,2018-02-22,north,1674
gold morsel,2018-02-22,south,1701
gold morsel,2018-02-22,east,1614
gold morsel,2018-02-22,west,1794
magenta morsel,2018-02-22,north,1725
magenta morsel,2018-02-22,south,1659
magenta morsel,2018-02-22,east,1536
magenta morsel,2018-02-22,west,1620
chartreuse morsel,2018-02-22,north,1794
chartreuse morsel,2018-02-22,south,1623
chartreuse morsel,2018-02-22,east,1665
chartreuse morsel,2018-02-22,west,1671
periwinkle morsel,2018-02-22,north,1752
periwinkle morsel,2018-02-22,south,1707
periwinkle morsel,2018-02-22,east,1797
periwinkle morsel,2018-02-22,west,1668
vermilion morsel,2018-02-22,north,1596
vermilion morsel,2018-02-22,south,1503
vermilion morsel,2018-02-22,east,1578
vermilion morsel,2018-02-22,west,1680
lapis morsel,2018-02-22,north,1608
lapis morsel,2018-02-22,south,1683
lapis morsel,2018-02-22,east,1572
lapis morsel,2018-02-22,west,1656
pink morsel,2018-02-23,north,1713
pink morsel,2018-02-23,south,1698
pink morsel,2018-02-23,east,1557
pink morsel,2018-02-23,west,1782
gold morsel,2018-02-23,north,1695
gold morsel,2018-02-23,south,1680
gold morsel,2018-02-23,east,1761
gold morsel,2018-02-23,west,1659
magenta morsel,2018-02-23,north,1518
magenta morsel,2018-02-23,south,1572
magenta morsel,2018-02-23,east,1785
magenta morsel,2018-02-23,west,1557
chartreuse morsel,2018-02-23,north,1719
chartreuse morsel,2018-02-23,south,1677
chartreuse morsel,2018-02-23,east,1695
chartreuse morsel,2018-02-23,west,1602
periwinkle morsel,2018-02-23,north,1782
periwinkle morsel,2018-02-23,south,1773
periwinkle morsel,2018-02-23,east,1656
periwinkle morsel,2018-02-23,west,1665
vermilion morsel,2018-02-23,north,1578
vermilion morsel,2018-02-23,south,1641
vermilion morsel,2018-02-23,east,1737
vermilion morsel,2018-02-23,west,1557
lapis morsel,2018-02-23,north,1788
lapis morsel,2018-02-23,south,1677
lapis morsel,2018-02-23,east,1698
lapis morsel,2018-02-23,west,1728
pink morsel,2018-02-24,north,1776
pink morsel,2018-02-24,south,1551
pink morsel,2018-02-24,east,1548
pink morsel,2018-02-24,west,1542
gold morsel,2018-02-24,north,1683
gold morsel,2018-02-24,south,1683
gold morsel,2018-02-24,east,1572
gold morsel,2018-02-24,west,1683
magenta morsel,2018-02-24,north,1761
magenta morsel,2018-02-24,south,1668
magenta morsel,2018-02-24,east,1599
magenta morsel,2018-02-24,west,1593
chartreuse morsel,2018-02-24,north,1623
chartreuse morsel,2018-02-24,south,1737
chartreuse morsel,2018-02-24,east,1593
chartreuse morsel,2018-02-24,west,1788
periwinkle morsel,2018-02-24,north,1659
periwinkle morsel,2018-02-24,south,1641
periwinkle morsel,2018-02-24,east,1575
periwinkle morsel,2018-02-24,west,1611
vermilion morsel,2018-02-24,north,1599
vermilion morsel,2018-02-24,south,1530
vermilion morsel,2018-02-24,east,1608
vermilion morsel,2018-02-24,west,1626
lapis morsel,2018-02-24,north,1530
lapis morsel,2018-02-24,south,1707
lapis morsel,2018-02-24,east,1611
lapis morsel,2018-02-24,west,1635
pink morsel,2018-02-25,north,1593
pink morsel,2018-02-25,south,1749
pink morsel,2018-02-25,east,1623
pink morsel,2018-02-25,west,1608
gold morsel,2018-02-25,north,1665
gold morsel,2018-02-25,south,1659
gold morsel,2018-02-25,east,1734
gold morsel,2018-02-25,west,1557
magenta morsel,2018-02-25,north,1797
magenta morsel,2018-02-25,south,1587
magenta morsel,2018-02-25,east,1557
magenta morsel,2018-02-25,west,1542
chartreuse morsel,2018-02-25,north,1743
chartreuse morsel,2018-02-25,south,1797
chartreuse morsel,2018-02-25,east,1686
chartreuse morsel,2018-02-25,west,1683
periwinkle morsel,2018-02-25,north,1791
periwinkle morsel,2018-02-25,south,1554
periwinkle morsel,2018-02-25,east,1695
periwinkle morsel,2018-02-25,west,1566
vermilion morsel,2018-02-25,north,1563
vermilion morsel,2018-02-25,south,1623
vermilion morsel,2018-02-25,east,1530
vermilion morsel,2018-02-25,west,1662
lapis morsel,2018-02-25,north,1650
lapis morsel,2018-02-25,south,1602
lapis morsel,2018-02-25,east,1548
lapis morsel,2018-02-25,west,1623
pink morsel,2018-02-26,north,1728
pink morsel,2018-02-26,south,1533
pink morsel,2018-02-26,east,1503
pink morsel,2018-02-26,west,1629
gold morsel,2018-02-26,north,1581
gold morsel,2018-02-26,south,1659
gold morsel,2018-02-26,east,1707
gold morsel,2018-02-26,west,1665
magenta morsel,2018-02-26,north,1563
magenta morsel,2018-02-26,south,1638
magenta morsel,2018-02-26,east,1692
magenta morsel,2018-02-26,west,1503
chartreuse morsel,2018-02-26,north,1686
chartreuse morsel,2018-02-26,south,1764
chartreuse morsel,2018-02-26,east,1629
chartreuse morsel,2018-02-26,west,1779
periwinkle morsel,2018-02-26,north,1554
periwinkle morsel,2018-02-26,south,1653
periwinkle morsel,2018-02-26,east,1515
periwinkle morsel,2018-02-26,west,1557
vermilion morsel,2018-02-26,north,1746
vermilion morsel,2018-02-26,south,1671
vermilion morsel,2018-02-26,east,1716
vermilion morsel,2018-02-26,west,1554
lapis morsel,2018-02-26,north,1695
lapis morsel,2018-02-26,south,1611
lapis morsel,2018-02-26,east,1680
lapis morsel,2018-02-26,west,1671
pink morsel,2018-02-27,north,1644
pink morsel,2018-02-27,south,1638
pink morsel,2018-02-27,east,1623
pink morsel,2018-02-27,west,1515
gold morsel,2018-02-27,north,1743
gold morsel,2018-02-27,south,1587
gold morsel,2018-02-27,east,1764
gold morsel,2018-02-27,west,1572
magenta morsel,2018-02-27,north,1752
magenta morsel,2018-02-27,south,1647
magenta morsel,2018-02-27,east,1575
magenta morsel,2018-02-27,west,1500
chartreuse morsel,2018-02-27,north,1743
chartreuse morsel,2018-02-27,south,1566
chartreuse morsel,2018-02-27,east,1758
chartreuse morsel,2018-02-27,west,1689
periwinkle morsel,2018-02-27,north,1776
periwinkle morsel,2018-02-27,south,1770
periwinkle morsel,2018-02-27,east,1695
periwinkle morsel,2018-02-27,west,1566
vermilion morsel,2018-02-27,north,1623
vermilion morsel,2018-02-27,south,1776
vermilion morsel,2018-02-27,east,1515
vermilion morsel,2018-02-27,west,1761
lapis morsel,2018-02-27,north,1623
lapis morsel,2018-02-27,south,1788
lapis morsel,2018-02-27,east,1542
lapis morsel,2018-02-27,west,1515
pink morsel,2018-02-28,north,1794
pink morsel,2018-02-28,south,1794
pink morsel,2018-02-28,east,1755
pink morsel,2018-02-28,west,1761
gold morsel,2018-02-28,north,1605
gold morsel,2018-02-28,south,1569
gold morsel,2018-02-28,east,1638
gold morsel,2018-02-28,west,1677
magenta morsel,2018-02-28,north,1593
magenta morsel,2018-02-28,south,1500
magenta morsel,2018-02-28,east,1539
magenta morsel,2018-02-28,west,1719
chartreuse morsel,2018-02-28,north,1749
chartreuse morsel,2018-02-28,south,1596
chartreuse morsel,2018-02-28,east,1680
chartreuse morsel,2018-02-28,west,1509
periwinkle morsel,2018-02-28,north,1500
periwinkle morsel,2018-02-28,south,1653
periwinkle morsel,2018-02-28,east,1620
periwinkle morsel,2018-02-28,west,1575
vermilion morsel,2018-02-28,north,1737
vermilion morsel,2018-02-28,south,1713
vermilion morsel,2018-02-28,east,1698
vermilion morsel,2018-02-28,west,1539
lapis morsel,2018-02-28,north,1773
lapis morsel,2018-02-28,south,1707
lapis morsel,2018-02-28,east,1554
lapis morsel,2018-02-28,west,1515
pink morsel,2018-03-01,north,1551
pink morsel,2018-03-01,south,1566
pink morsel,2018-03-01,east,1788
pink morsel,2018-03-01,west,1614
gold morsel,2018-03-01,north,1704
gold morsel,2018-03-01,south,1656
gold morsel,2018-03-01,east,1530
gold morsel,2018-03-01,west,1659
magenta morsel,2018-03-01,north,1620
magenta morsel,2018-03-01,south,1725
magenta morsel,2018-03-01,east,1704
magenta morsel,2018-03-01,west,1527
chartreuse morsel,2018-03-01,north,1731
chartreuse morsel,2018-03-01,south,1761
chartreuse morsel,2018-03-01,east,1644
chartreuse morsel,2018-03-01,west,1653
periwinkle morsel,2018-03-01,north,1725
periwinkle morsel,2018-03-01,south,1698
periwinkle morsel,2018-03-01,east,1662
periwinkle morsel,2018-03-01,west,1656
vermilion morsel,2018-03-01,north,1608
vermilion morsel,2018-03-01,south,1773
vermilion morsel,2018-03-01,east,1659
vermilion morsel,2018-03-01,west,1647
lapis morsel,2018-03-01,north,1638
lapis morsel,2018-03-01,south,1623
lapis morsel,2018-03-01,east,1719
lapis morsel,2018-03-01,west,1629
pink morsel,2018-03-02,north,1701
pink morsel,2018-03-02,south,1725
pink morsel,2018-03-02,east,1752
pink morsel,2018-03-02,west,1557
gold morsel,2018-03-02,north,1500
gold morsel,2018-03-02,south,1707
gold morsel,2018-03-02,east,1533
gold morsel,2018-03-02,west,1737
magenta morsel,2018-03-02,north,1605
magenta morsel,2018-03-02,south,1767
magenta morsel,2018-03-02,east,1551
magenta morsel,2018-03-02,west,1521
chartreuse morsel,2018-03-02,north,1659
chartreuse morsel,2018-03-02,south,1611
chartreuse morsel,2018-03-02,east,1695
chartreuse morsel,2018-03-02,west,1632
periwinkle morsel,2018-03-02,north,1515
periwinkle morsel,2018-03-02,south,1584
periwinkle morsel,2018-03-02,east,1596
periwinkle morsel,2018-03-02,west,1743
vermilion morsel,2018-03-02,north,1791
vermilion morsel,2018-03-02,south,1599
vermilion morsel,2018-03-02,east,1749
vermilion morsel,2018-03-02,west,1755
lapis morsel,2018-03-02,north,1755
lapis morsel,2018-03-02,south,1662
lapis morsel,2018-03-02,east,1509
lapis morsel,2018-03-02,west,1776
pink morsel,2018-03-03,north,1695
pink morsel,2018-03-03,south,1707
pink morsel,2018-03-03,east,1548
pink morsel,2018-03-03,west,1578
gold morsel,2018-03-03,north,1563
gold morsel,2018-03-03,south,1674
gold morsel,2018-03-03,east,1554
gold morsel,2018-03-03,west,1665
magenta morsel,2018-03-03,north,1527
magenta morsel,2018-03-03,south,1617
magenta morsel,2018-03-03,east,1548
magenta morsel,2018-03-03,west,1671
chartreuse morsel,2018-03-03,north,1668
chartreuse morsel,2018-03-03,south,1671
chartreuse morsel,2018-03-03,east,1719
chartreuse morsel,2018-03-03,west,1668
periwinkle morsel,2018-03-03,north,1536
periwinkle morsel,2018-03-03,south,1734
periwinkle morsel,2018-03-03,east,1743
