Date,Region,Sales
9/02/2018,east,1569
9/02/2018,west,1557
9/02/2018,north,1773
9/02/2018,south,1644
9/02/2018,east,1614
9/02/2018,west,1674
9/02/2018,north,1533
9/02/2018,south,1653
9/02/2018,east,1557
9/02/2018,west,1746
10/02/2018,north,1719
10/02/2018,south,1719
10/02/2018,east,1659
10/02/2018,west,1800
10/02/2018,north,1581
10/02/2018,south,1602
10/02/2018,east,1608
10/02/2018,west,1650
10/02/2018,north,1611
10/02/2018,south,1530
10/02/2018,east,1698
10/02/2018,west,1668
10/02/2018,north,1746
10/02/2018,south,1524
10/02/2018,east,1506
10/02/2018,west,1704
10/02/2018,north,1788
10/02/2018,south,1719
10/02/2018,east,1746
10/02/2018,west,1584
10/02/2018,north,1692
10/02/2018,south,1635
10/02/2018,east,1608
10/02/2018,west,1590
10/02/2018,north,1599
10/02/2018,south,1518
10/02/2018,east,1602
10/02/2018,west,1659
11/02/2018,north,1644
11/02/2018,south,1611
11/02/2018,east,1554
11/02/2018,west,1515
11/02/2018,north,1515
11/02/2018,south,1632
11/02/2018,east,1512
11/02/2018,west,1776
11/02/2018,north,1677
11/02/2018,south,1503
11/02/2018,east,1605
11/02/2018,west,1647
11/02/2018,north,1506
11/02/2018,south,1737
11/02/2018,east,1590
11/02/2018,west,1767
11/02/2018,north,1593
11/02/2018,south,1614
11/02/2018,east,1710
11/02/2018,west,1662
11/02/2018,north,1650
11/02/2018,south,1755
11/02/2018,east,1698
11/02/2018,west,1659
11/02/2018,north,1683
11/02/2018,south,1509
11/02/2018,east,1500
11/02/2018,west,1545
12/02/2018,north,1647
12/02/2018,south,1614
12/02/2018,east,1629
12/02/2018,west,1677
12/02/2018,north,1743
12/02/2018,south,1569
12/02/2018,east,1593
12/02/2018,west,1578
12/02/2018,north,1578
12/02/2018,south,1581
12/02/2018,east,1653
12/02/2018,west,1578
12/02/2018,north,1761
12/02/2018,south,1611
12/02/2018,east,1749
12/02/2018,west,1764
12/02/2018,north,1716
12/02/2018,south,1710
12/02/2018,east,1800
12/02/2018,west,1728
12/02/2018,north,1743
12/02/2018,south,1764
12/02/2018,east,1740
12/02/2018,west,1707
12/02/2018,north,1509
12/02/2018,south,1641
12/02/2018,east,1533
12/02/2018,west,1752
13/02/2018,north,1767
13/02/2018,south,1590
13/02/2018,east,1533
13/02/2018,west,1704
13/02/2018,north,1671
13/02/2018,south,1527
13/02/2018,east,1524
13/02/2018,west,1629
13/02/2018,north,1722
13/02/2018,south,1557
13/02/2018,east,1686
13/02/2018,west,1779
13/02/2018,north,1734
13/02/2018,south,1776
13/02/2018,east,1554
13/02/2018,west,1725
13/02/2018,north,1617
13/02/2018,south,1635
13/02/2018,east,1605
13/02/2018,west,1785
13/02/2018,north,1761
13/02/2018,south,1530
13/02/2018,east,1710
13/02/2018,west,1506
13/02/2018,north,1509
13/02/2018,south,1797
13/02/2018,east,1662
13/02/2018,west,1530
14/02/2018,north,1767
14/02/2018,south,1767
14/02/2018,east,1614
14/02/2018,west,1533
14/02/2018,north,1767
14/02/2018,south,1761
14/02/2018,east,1566
14/02/2018,west,1623
14/02/2018,north,1506
14/02/2018,south,1512
14/02/2018,east,1692
14/02/2018,west,1749
14/02/2018,north,1701
14/02/2018,south,1752
14/02/2018,east,1632
14/02/2018,west,1515
14/02/2018,north,1725
14/02/2018,south,1611
14/02/2018,east,1788
14/02/2018,west,1617
14/02/2018,north,1656
14/02/2018,south,1674
14/02/2018,east,1557
14/02/2018,west,1701
14/02/2018,north,1686
14/02/2018,south,1782
14/02/2018,east,1641
14/02/2018,west,1557
15/02/2018,north,1686
15/02/2018,south,1527
15/02/2018,east,1698
15/02/2018,west,1728
15/02/2018,north,1671
15/02/2018,south,1527
15/02/2018,east,1581
15/02/2018,west,1764
15/02/2018,north,1653
15/02/2018,south,1626
15/02/2018,east,1782
15/02/2018,west,1749
15/02/2018,north,1539
15/02/2018,south,1752
15/02/2018,east,1674
15/02/2018,west,1749
15/02/2018,north,1569
15/02/2018,south,1794
15/02/2018,east,1674
15/02/2018,west,1638
15/02/2018,north,1515
15/02/2018,south,1527
15/02/2018,east,1602
15/02/2018,west,1653
15/02/2018,north,1602
15/02/2018,south,1707
15/02/2018,east,1548
15/02/2018,west,1527
16/02/2018,north,1599
16/02/2018,south,1728
16/02/2018,east,1704
16/02/2018,west,1539
16/02/2018,north,1545
16/02/2018,south,1797
16/02/2018,east,1515
16/02/2018,west,1719
16/02/2018,north,1713
16/02/2018,south,1674
16/02/2018,east,1767
16/02/2018,west,1767
16/02/2018,north,1668
16/02/2018,south,1620
16/02/2018,east,1677
16/02/2018,west,1509
16/02/2018,north,1683
16/02/2018,south,1743
16/02/2018,east,1644
16/02/2018,west,1578
16/02/2018,north,1572
16/02/2018,south,1545
16/02/2018,east,1557
16/02/2018,west,1626
16/02/2018,north,1710
16/02/2018,south,1659
16/02/2018,east,1665
16/02/2018,west,1521
17/02/2018,north,1503
17/02/2018,south,1650
17/02/2018,east,1689
17/02/2018,west,1743
17/02/2018,north,1623
17/02/2018,south,1503
17/02/2018,east,1758
17/02/2018,west,1557
17/02/2018,north,1713
17/02/2018,south,1734
17/02/2018,east,1740
17/02/2018,west,1563
17/02/2018,north,1716
17/02/2018,south,1791
17/02/2018,east,1674
17/02/2018,west,1716
17/02/2018,north,1632
17/02/2018,south,1641
17/02/2018,east,1584
17/02/2018,west,1590
17/02/2018,north,1713
17/02/2018,south,1593
17/02/2018,east,1740
17/02/2018,west,1638
17/02/2018,north,1653
17/02/2018,south,1590
17/02/2018,east,1593
17/02/2018,west,1602
18/02/2018,north,1785
18/02/2018,south,1764
18/02/2018,east,1506
18/02/2018,west,1536
18/02/2018,north,1623
18/02/2018,south,1674
18/02/2018,east,1791
18/02/2018,west,1653
18/02/2018,north,1785
18/02/2018,south,1569
18/02/2018,east,1500
18/02/2018,west,1770
18/02/2018,north,1653
18/02/2018,south,1590
18/02/2018,east,1671
18/02/2018,west,1629
18/02/2018,north,1578
18/02/2018,south,1665
18/02/2018,east,1575
18/02/2018,west,1587
18/02/2018,north,1674
18/02/2018,south,1785
18/02/2018,east,1719
18/02/2018,west,1617
18/02/2018,north,1794
18/02/2018,south,1563
18/02/2018,east,1728
18/02/2018,west,1740
19/02/2018,north,1617
19/02/2018,south,1650
19/02/2018,east,1728
19/02/2018,west,1635
19/02/2018,north,1584
19/02/2018,south,1647
19/02/2018,east,1551
19/02/2018,west,1512
19/02/2018,north,1737
19/02/2018,south,1551
19/02/2018,east,1515
19/02/2018,west,1716
19/02/2018,north,1746
19/02/2018,south,1677
19/02/2018,east,1584
19/02/2018,west,1617
19/02/2018,north,1743
19/02/2018,south,1533
19/02/2018,east,1521
19/02/2018,west,1578
19/02/2018,north,1545
19/02/2018,south,1713
19/02/2018,east,1665
19/02/2018,west,1644
19/02/2018,north,1776
19/02/2018,south,1560
19/02/2018,east,1644
19/02/2018,west,1503
20/02/2018,north,1800
20/02/2018,south,1758
20/02/2018,east,1701
20/02/2018,west,1671
20/02/2018,north,1593
20/02/2018,south,1617
20/02/2018,east,1626
20/02/2018,west,1629
20/02/2018,north,1728
20/02/2018,south,1506
20/02/2018,east,1590
20/02/2018,west,1626
20/02/2018,north,1782
20/02/2018,south,1572
20/02/2018,east,1539
20/02/2018,west,1509
20/02/2018,north,1788
20/02/2018,south,1713
20/02/2018,east,1626
20/02/2018,west,1629
20/02/2018,north,1548
20/02/2018,south,1716
20/02/2018,east,1752
20/02/2018,west,1638
20/02/2018,north,1575
20/02/2018,south,1671
20/02/2018,east,1626
20/02/2018,west,1572
21/02/2018,north,1572
21/02/2018,south,1569
21/02/2018,east,1581
21/02/2018,west,1521
21/02/2018,north,1641
21/02/2018,south,1692
21/02/2018,east,1713
21/02/2018,west,1563
21/02/2018,north,1524
21/02/2018,south,1533
21/02/2018,east,1695
21/02/2018,west,1533
21/02/2018,north,1599
21/02/2018,south,1665
21/02/2018,east,1713
21/02/2018,west,1644
21/02/2018,north,1776
21/02/2018,south,1530
21/02/2018,east,1650
21/02/2018,west,1512
21/02/2018,north,1629
21/02/2018,south,1707
21/02/2018,east,1521
21/02/2018,west,1761
21/02/2018,north,1755
21/02/2018,south,1659
21/02/2018,east,1800
21/02/2018,west,1539
22/02/2018,north,1713
22/02/2018,south,1752
22/02/2018,east,1629
22/02/2018,west,1635
22/02/2018,north,1674
22/02/2018,south,1701
22/02/2018,east,1614
22/02/2018,west,1794
22/02/2018,north,1725
22/02/2018,south,1659
22/02/2018,east,1536
22/02/2018,west,1620
22/02/2018,north,1794
22/02/2018,south,1623
22/02/2018,east,1665
22/02/2018,west,1671
22/02/2018,north,1752
22/02/2018,south,1707
22/02/2018,east,1797
22/02/2018,west,1668
22/02/2018,north,1596
22/02/2018,south,1503
22/02/2018,east,1578
22/02/2018,west,1680
22/02/2018,north,1608
22/02/2018,south,1683
22/02/2018,east,1572
22/02/2018,west,1656
23/02/2018,north,1713
23/02/2018,south,1698
23/02/2018,east,1557
23/02/2018,west,1782
23/02/2018,north,1695
23/02/2018,south,1680
23/02/2018,east,1761
23/02/2018,west,1659
23/02/2018,north,1518
23/02/2018,south,1572
23/02/2018,east,1785
23/02/2018,west,1557
23/02/2018,north,1719
23/02/2018,south,1677
23/02/2018,east,1695
23/02/2018,west,1602
23/02/2018,north,1782
23/02/2018,south,1773
23/02/2018,east,1656
23/02/2018,west,1665
23/02/2018,north,1578
23/02/2018,south,1641
23/02/2018,east,1737
23/02/2018,west,1557
23/02/2018,north,1788
23/02/2018,south,1677
23/02/2018,east,1698
23/02/2018,west,1728
24/02/2018,north,1776
24/02/2018,south,1551
24/02/2018,east,1548
24/02/2018,west,1542
24/02/2018,north,1683
24/02/2018,south,1683
24/02/2018,east,1572
24/02/2018,west,1683
24/02/2018,north,1761
24/02/2018,south,1668
24/02/2018,east,1599
24/02/2018,west,1593
24/02/2018,north,1623
24/02/2018,south,1737
24/02/2018,east,1593
24/02/2018,west,1788
24/02/2018,north,1659
24/02/2018,south,1641
24/02/2018,east,1575
24/02/2018,west,1611
24/02/2018,north,1599
24/02/2018,south,1530
24/02/2018,east,1608
24/02/2018,west,1626
24/02/2018,north,1530
24/02/2018,south,1707
24/02/2018,east,1611
24/02/2018,west,1635
25/02/2018,north,1593
25/02/2018,south,1749
25/02/2018,east,1623
25/02/2018,west,1608
25/02/2018,north,1665
25/02/2018,south,1659
25/02/2018,east,1734
25/02/2018,west,1557
25/02/2018,north,1797
25/02/2018,south,1587
25/02/2018,east,1557
25/02/2018,west,1542
25/02/2018,north,1743
25/02/2018,south,1797
25/02/2018,east,1686
25/02/2018,west,1683
25/02/2018,north,1791
25/02/2018,south,1554
25/02/2018,east,1695
25/02/2018,west,1566
25/02/2018,north,1563
25/02/2018,south,1623
25/02/2018,east,1530
25/02/2018,west,1662
25/02/2018,north,1650
25/02/2018,south,1602
25/02/2018,east,1548
25/02/2018,west,1623
26/02/2018,north,1728
26/02/2018,south,1533
26/02/2018,east,1503
26/02/2018,west,1629
26/02/2018,north,1581
26/02/2018,south,1659
26/02/2018,east,1707
26/02/2018,west,1665
26/02/2018,north,1563
26/02/2018,south,1638
26/02/2018,east,1692
26/02/2018,west,1503
26/02/2018,north,1686
26/02/2018,south,1764
26/02/2018,east,1629
26/02/2018,west,1779
26/02/2018,north,1554
26/02/2018,south,1653
26/02/2018,east,1515
26/02/2018,west,1557
26/02/2018,north,1746
26/02/2018,south,1671
26/02/2018,east,1716
26/02/2018,west,1554
26/02/2018,north,1695
26/02/2018,south,1611
26/02/2018,east,1680
26/02/2018,west,1671
27/02/2018,north,1644
27/02/2018,south,1638
27/02/2018,east,1623
27/02/2018,west,1515
27/02/2018,north,1743
27/02/2018,south,1587
27/02/2018,east,1764
27/02/2018,west,1572
27/02/2018,north,1752
27/02/2018,south,1647
27/02/2018,east,1575
27/02/2018,west,1500
27/02/2018,north,1743
27/02/2018,south,1566
27/02/2018,east,1758
27/02/2018,west,1689
27/02/2018,north,1776
27/02/2018,south,1770
27/02/2018,east,1695
27/02/2018,west,1566
27/02/2018,north,1623
27/02/2018,south,1776
27/02/2018,east,1515
27/02/2018,west,1761
27/02/2018,north,1623
27/02/2018,south,1788
27/02/2018,east,1542
27/02/2018,west,1515
28/02/2018,north,1794
28/02/2018,south,1794
28/02/2018,east,1755
28/02/2018,west,1761
28/02/2018,north,1605
28/02/2018,south,1569
28/02/2018,east,1638
28/02/2018,west,1677
28/02/2018,north,1593
28/02/2018,south,1500
28/02/2018,east,1539
28/02/2018,west,1719
28/02/2018,north,1749
28/02/2018,south,1596
28/02/2018,east,1680
28/02/2018,west,1509
28/02/2018,north,1500
28/02/2018,south,1653
28/02/2018,east,1620
28/02/2018,west,1575
28/02/2018,north,1737
28/02/2018,south,1713
28/02/2018,east,1698
28/02/2018,west,1539
28/02/2018,north,1773
28/02/2018,south,1707
28/02/2018,east,1554
28/02/2018,west,1515
1/03/2018,north,1551
1/03/2018,south,1566
1/03/2018,east,1788
1/03/2018,west,1614
1/03/2018,north,1704
1/03/2018,south,1656
1/03/2018,east,1530
1/03/2018,west,1659
1/03/2018,north,1620
1/03/2018,south,1725
1/03/2018,east,1704
1/03/2018,west,1527
1/03/2018,north,1731
1/03/2018,south,1761
1/03/2018,east,1644
1/03/2018,west,1653
1/03/2018,north,1725
1/03/2018,south,1698
1/03/2018,east,1662
1/03/2018,west,1656
1/03/2018,north,1608
1/03/2018,south,1773
1/03/2018,east,1659
1/03/2018,west,1647
1/03/2018,north,1638
1/03/2018,south,1623
1/03/2018,east,1719
1/03/2018,west,1629
2/03/2018,north,1701
2/03/2018,south,1725
2/03/2018,east,1752
2/03/2018,west,1557
2/03/2018,north,1500
2/03/2018,south,1707
2/03/2018,east,1533
2/03/2018,west,1737
2/03/2018,north,1605
2/03/2018,south,1767
2/03/2018,east,1551
2/03/2018,west,1521
2/03/2018,north,1659
2/03/2018,south,1611
2/03/2018,east,1695
2/03/2018,west,1632
2/03/2018,north,1515
2/03/2018,south,1584
2/03/2018,east,1596
2/03/2018,west,1743
2/03/2018,north,1791
2/03/2018,south,1599
2/03/2018,east,1749
2/03/2018,west,1755
2/03/2018,north,1755
2/03/2018,south,1662
2/03/2018,east,1509
2/03/2018,west,1776
3/03/2018,north,1695
3/03/2018,south,1707
3/03/2018,east,1548
3/03/2018,west,1578
3/03/2018,north,1563
3/03/2018,south,1674
3/03/2018,east,1554
3/03/2018,west,1665
3/03/2018,north,1527
3/03/2018,south,1617
3/03/2018,east,1548
3/03/2018,west,1671
3/03/2018,north,1668
3/03/2018,south,1671
3/03/2018,east,1719
3/03/2018,west,1668
3/03/2018,north,1536
3/03/2018,south,1734
3/03/2018,east,1743
3/03/2018,west,1776
3/03/2018,north,1650
3/03/2018,south,1599
3/03/2018,east,1614
3/03/2018,west,1773
3/03/2018,north,1611
3/03/2018,south,1605
3/03/2018,east,1554
3/03/2018,west,1788
4/03/2018,north,1566
4/03/2018,south,1560
4/03/2018,east,1551
4/03/2018,west,1626
4/03/2018,north,1665
4/03/2018,south,1539
4/03/2018,east,1506
4/03/2018,west,1617
4/03/2018,north,1797
4/03/2018,south,1794
4/03/2018,east,1620
4/03/2018,west,1683
4/03/2018,north,1620
4/03/2018,south,1554
4/03/2018,east,1701
4/03/2018,west,1785
4/03/2018,north,1689
4/03/2018,south,1650
4/03/2018,east,1533
4/03/2018,west,1587
4/03/2018,north,1509
4/03/2018,south,1743
4/03/2018,east,1719
4/03/2018,west,1743
4/03/2018,north,1701
4/03/2018,south,1629
4/03/2018,east,1638
4/03/2018,west,1611
5/03/2018,north,1623
5/03/2018,south,1635
5/03/2018,east,1716
5/03/2018,west,1707
5/03/2018,north,1602
5/03/2018,south,1542
5/03/2018,east,1800
5/03/2018,west,1734
5/03/2018,north,1788
5/03/2018,south,1614
5/03/2018,east,1743
5/03/2018,west,1770
5/03/2018,north,1776
5/03/2018,south,1713
5/03/2018,east,1623
5/03/2018,west,1752
5/03/2018,north,1527
5/03/2018,south,1776
5/03/2018,east,1689
5/03/2018,west,1713
5/03/2018,north,1509
5/03/2018,south,1575
5/03/2018,east,1701
5/03/2018,west,1575
5/03/2018,north,1581
5/03/2018,south,1779
5/03/2018,east,1662
5/03/2018,west,1506
6/03/2018,north,1794
6/03/2018,south,1659
6/03/2018,east,1644
6/03/2018,west,1707
6/03/2018,north,1704
6/03/2018,south,1500
6/03/2018,east,1539
6/03/2018,west,1800
6/03/2018,north,1557
6/03/2018,south,1554
6/03/2018,east,1788
6/03/2018,west,1563
6/03/2018,north,1548
6/03/2018,south,1560
6/03/2018,east,1734
6/03/2018,west,1644
6/03/2018,north,1629
6/03/2018,south,1677
6/03/2018,east,1764
6/03/2018,west,1515
6/03/2018,north,1542
6/03/2018,south,1545
6/03/2018,east,1668
6/03/2018,west,1584
6/03/2018,north,1605
6/03/2018,south,1740
6/03/2018,east,1602
6/03/2018,west,1509
7/03/2018,north,1566
7/03/2018,south,1680
7/03/2018,east,1656
7/03/2018,west,1722
7/03/2018,north,1662
7/03/2018,south,1794
7/03/2018,east,1734
7/03/2018,west,1647
7/03/2018,north,1635
7/03/2018,south,1743
7/03/2018,east,1665
7/03/2018,west,1770
7/03/2018,north,1749
7/03/2018,south,1695
7/03/2018,east,1644
7/03/2018,west,1602
7/03/2018,north,1560
7/03/2018,south,1500
7/03/2018,east,1719
7/03/2018,west,1557
7/03/2018,north,1527
7/03/2018,south,1653
7/03/2018,east,1506
7/03/2018,west,1575
7/03/2018,north,1749
7/03/2018,south,1770
7/03/2018,east,1674
7/03/2018,west,1650
8/03/2018,north,1794
8/03/2018,south,1509
8/03/2018,east,1785
8/03/2018,west,1539
8/03/2018,north,1731
8/03/2018,south,1617
8/03/2018,east,1656
8/03/2018,west,1599
8/03/2018,north,1713
8/03/2018,south,1506
8/03/2018,east,1758
8/03/2018,west,1650
8/03/2018,north,1791
8/03/2018,south,1623
8/03/2018,east,1776
8/03/2018,west,1653
8/03/2018,north,1659
8/03/2018,south,1755
8/03/2018,east,1533
8/03/2018,west,1557
8/03/2018,north,1527
8/03/2018,south,1614
8/03/2018,east,1638
8/03/2018,west,1704
8/03/2018,north,1650
8/03/2018,south,1656
8/03/2018,east,1782
8/03/2018,west,1527
9/03/2018,north,1578
9/03/2018,south,1767
9/03/2018,east,1749
9/03/2018,west,1524
9/03/2018,north,1719
9/03/2018,south,1695
9/03/2018,east,1740
9/03/2018,west,1533
9/03/2018,north,1653
9/03/2018,south,1560
9/03/2018,east,1677
9/03/2018,west,1539
9/03/2018,north,1713
9/03/2018,south,1554
9/03/2018,east,1743
9/03/2018,west,1701
9/03/2018,north,1587
9/03/2018,south,1512
9/03/2018,east,1698
9/03/2018,west,1746
9/03/2018,north,1554
9/03/2018,south,1554
9/03/2018,east,1782
9/03/2018,west,1782
9/03/2018,north,1764
9/03/2018,south,1620
9/03/2018,east,1545
9/03/2018,west,1722
10/03/2018,north,1503
10/03/2018,south,1530
10/03/2018,east,1737
10/03/2018,west,1692
10/03/2018,north,1542
10/03/2018,south,1758
10/03/2018,east,1779
10/03/2018,west,1593
10/03/2018,north,1686
10/03/2018,south,1749
10/03/2018,east,1662
10/03/2018,west,1569
10/03/2018,north,1590
10/03/2018,south,1665
10/03/2018,east,1716
10/03/2018,west,1704
10/03/2018,north,1632
10/03/2018,south,1581
10/03/2018,east,1758
10/03/2018,west,1641
10/03/2018,north,1731
10/03/2018,south,1677
10/03/2018,east,1728
10/03/2018,west,1755
10/03/2018,north,1611
10/03/2018,south,1593
10/03/2018,east,1797
10/03/2018,west,1560
11/03/2018,north,1530
11/03/2018,south,1770
11/03/2018,east,1611
11/03/2018,west,1701
11/03/2018,north,1617
11/03/2018,south,1515
11/03/2018,east,1713
11/03/2018,west,1500
11/03/2018,north,1632
11/03/2018,south,1713
11/03/2018,east,1743
11/03/2018,west,1587
11/03/2018,north,1749
11/03/2018,south,1533
11/03/2018,east,1653
11/03/2018,west,1512
11/03/2018,north,1518
11/03/2018,south,1623
11/03/2018,east,1701
11/03/2018,west,1596
11/03/2018,north,1746
11/03/2018,south,1536
11/03/2018,east,1659
11/03/2018,west,1524
11/03/2018,north,1782
11/03/2018,south,1632
11/03/2018,east,1755
11/03/2018,west,1650
12/03/2018,north,1680
12/03/2018,south,1701
12/03/2018,east,1800
12/03/2018,west,1740
12/03/2018,north,1563
12/03/2018,south,1788
12/03/2018,east,1536
12/03/2018,west,1764
12/03/2018,north,1512
12/03/2018,south,1560
12/03/2018,east,1626
12/03/2018,west,1797
12/03/2018,north,1779
12/03/2018,south,1683
12/03/2018,east,1713
12/03/2018,west,1794
12/03/2018,north,1584
12/03/2018,south,1647
12/03/2018,east,1596
12/03/2018,west,1515
12/03/2018,north,1533
12/03/2018,south,1608
12/03/2018,east,1794
12/03/2018,west,1578
12/03/2018,north,1701
12/03/2018,south,1617
12/03/2018,east,1779
12/03/2018,west,1785
13/03/2018,north,1680
13/03/2018,south,1590
13/03/2018,east,1551
13/03/2018,west,1587
13/03/2018,north,1749
13/03/2018,south,1701
13/03/2018,east,1599
13/03/2018,west,1506
13/03/2018,north,1596
13/03/2018,south,1800
13/03/2018,east,1749
13/03/2018,west,1674
13/03/2018,north,1782
13/03/2018,south,1647
13/03/2018,east,1542
13/03/2018,west,1656
13/03/2018,north,1581
13/03/2018,south,1713
13/03/2018,east,1722
13/03/2018,west,1686
13/03/2018,north,1728
13/03/2018,south,1755
13/03/2018,east,1503
13/03/2018,west,1602
13/03/2018,north,1605
13/03/2018,south,1719
13/03/2018,east,1548
13/03/2018,west,1626
14/03/2018,north,1551
14/03/2018,south,1662
14/03/2018,east,1650
14/03/2018,west,1788
14/03/2018,north,1536
14/03/2018,south,1551
14/03/2018,east,1656
14/03/2018,west,1644
14/03/2018,north,1692
14/03/2018,south,1518
14/03/2018,east,1509
14/03/2018,west,1674
14/03/2018,north,1521
14/03/2018,south,1632
14/03/2018,east,1794
14/03/2018,west,1689
14/03/2018,north,1692
14/03/2018,south,1662
14/03/2018,east,1776
14/03/2018,west,1710
14/03/2018,north,1569
14/03/2018,south,1704
14/03/2018,east,1767
14/03/2018,west,1767
14/03/2018,north,1542
14/03/2018,south,1707
14/03/2018,east,1578
14/03/2018,west,1521
15/03/2018,north,1764
15/03/2018,south,1683
15/03/2018,east,1602
15/03/2018,west,1755
15/03/2018,north,1650
15/03/2018,south,1629
15/03/2018,east,1692
15/03/2018,west,1542
15/03/2018,north,1629
15/03/2018,south,1587
15/03/2018,east,1635
15/03/2018,west,1653
15/03/2018,north,1596
15/03/2018,south,1524
15/03/2018,east,1545
15/03/2018,west,1707
15/03/2018,north,1509
15/03/2018,south,1509
15/03/2018,east,1686
15/03/2018,west,1785
15/03/2018,north,1635
15/03/2018,south,1752
15/03/2018,east,1785
15/03/2018,west,1755
15/03/2018,north,1707
15/03/2018,south,1701
15/03/2018,east,1599
15/03/2018,west,1782
16/03/2018,north,1677
16/03/2018,south,1719
16/03/2018,east,1530
16/03/2018,west,1776
16/03/2018,north,1674
16/03/2018,south,1641
16/03/2018,east,1596
16/03/2018,west,1506
16/03/2018,north,1692
16/03/2018,south,1623
16/03/2018,east,1593
16/03/2018,west,1551
16/03/2018,north,1728
16/03/2018,south,1608
16/03/2018,east,1530
16/03/2018,west,1791
16/03/2018,north,1704
16/03/2018,south,1653
16/03/2018,east,1548
16/03/2018,west,1626
16/03/2018,north,1695
16/03/2018,south,1590
16/03/2018,east,1530
16/03/2018,west,1644
16/03/2018,north,1611
16/03/2018,south,1617
16/03/2018,east,1776
16/03/2018,west,1641
17/03/2018,north,1740
17/03/2018,south,1590
17/03/2018,east,1773
17/03/2018,west,1641
17/03/2018,north,1527
17/03/2018,south,1755
17/03/2018,east,1650
17/03/2018,west,1593
17/03/2018,north,1548
17/03/2018,south,1623
17/03/2018,east,1500
17/03/2018,west,1569
17/03/2018,north,1647
17/03/2018,south,1662
17/03/2018,east,1710
17/03/2018,west,1719
17/03/2018,north,1590
17/03/2018,south,1539
17/03/2018,east,1566
17/03/2018,west,1770
17/03/2018,north,1722
17/03/2018,south,1524
17/03/2018,east,1641
17/03/2018,west,1662
17/03/2018,north,1716
17/03/2018,south,1611
17/03/2018,east,1569
17/03/2018,west,1797
18/03/2018,north,1698
18/03/2018,south,1581
18/03/2018,east,1776
18/03/2018,west,1644
18/03/2018,north,1563
18/03/2018,south,1707
18/03/2018,east,1533
18/03/2018,west,1572
18/03/2018,north,1623
18/03/2018,south,1698
18/03/2018,east,1521
18/03/2018,west,1707
18/03/2018,north,1587
18/03/2018,south,1776
18/03/2018,east,1662
18/03/2018,west,1578
18/03/2018,north,1554
18/03/2018,south,1515
18/03/2018,east,1602
18/03/2018,west,1557
18/03/2018,north,1521
18/03/2018,south,1740
18/03/2018,east,1617
18/03/2018,west,1647
18/03/2018,north,1551
18/03/2018,south,1500
18/03/2018,east,1725
18/03/2018,west,1563
19/03/2018,north,1791
19/03/2018,south,1578
19/03/2018,east,1632
19/03/2018,west,1674
19/03/2018,north,1617
19/03/2018,south,1509
19/03/2018,east,1644
19/03/2018,west,1542
19/03/2018,north,1650
19/03/2018,south,1758
19/03/2018,east,1710
19/03/2018,west,1737
19/03/2018,north,1779
19/03/2018,south,1743
19/03/2018,east,1560
19/03/2018,west,1719
19/03/2018,north,1689
